density,n_agents,strategy,success_rate,mean_expansions_common,mean_runtime_common,n_common
0.0,4,first,1.000,1.5,0.0003,20
0.0,4,random,1.000,1.5,0.0002,20
0.0,4,earliest,1.000,1.5,0.0002,20
0.0,4,most-conflicts,1.000,1.5,0.0003,20
0.0,4,cardinal,1.000,1.5,0.0003,20
0.0,6,first,1.000,3.9,0.0008,20
0.0,6,random,1.000,3.2,0.0006,20
0.0,6,earliest,1.000,3.5,0.0007,20
0.0,6,most-conflicts,1.000,3.8,0.0008,20
0.0,6,cardinal,1.000,3.3,0.0009,20
0.0,8,first,1.000,9.9,0.0027,20
0.0,8,random,1.000,10.4,0.0030,20
0.0,8,earliest,1.000,10.8,0.0032,20
0.0,8,most-conflicts,1.000,12.4,0.0035,20
0.0,8,cardinal,1.000,6.2,0.0024,20
0.0,10,first,1.000,28.2,0.0087,20
0.0,10,random,1.000,123.7,0.0374,20
0.0,10,earliest,1.000,19.5,0.0065,20
0.0,10,most-conflicts,1.000,23.4,0.0076,20
0.0,10,cardinal,1.000,8.0,0.0036,20
0.0,12,first,0.950,76.7,0.0277,19
0.0,12,random,1.000,172.2,0.0673,19
0.0,12,earliest,1.000,110.7,0.0438,19
0.0,12,most-conflicts,0.950,91.0,0.0329,19
0.0,12,cardinal,1.000,17.7,0.0082,19
0.0,14,first,0.950,200.2,0.0969,15
0.0,14,random,0.950,174.4,0.0894,15
0.0,14,earliest,0.850,236.1,0.1171,15
0.0,14,most-conflicts,0.900,345.3,0.1640,15
0.0,14,cardinal,1.000,27.1,0.0153,15
0.1,4,first,1.000,4.8,0.0009,20
0.1,4,random,1.000,3.7,0.0008,20
0.1,4,earliest,1.000,4.3,0.0008,20
0.1,4,most-conflicts,1.000,4.2,0.0008,20
0.1,4,cardinal,1.000,3.4,0.0010,20
0.1,6,first,1.000,6.8,0.0014,20
0.1,6,random,1.000,6.7,0.0014,20
0.1,6,earliest,1.000,8.1,0.0016,20
0.1,6,most-conflicts,1.000,6.5,0.0014,20
0.1,6,cardinal,1.000,5.4,0.0016,20
0.1,8,first,1.000,20.9,0.0054,20
0.1,8,random,1.000,33.7,0.0102,20
0.1,8,earliest,1.000,52.0,0.0160,20
0.1,8,most-conflicts,1.000,36.8,0.0099,20
0.1,8,cardinal,1.000,10.8,0.0036,20
0.1,10,first,0.950,84.1,0.0273,19
0.1,10,random,1.000,137.1,0.0412,19
0.1,10,earliest,0.950,138.7,0.0406,19
0.1,10,most-conflicts,0.950,122.5,0.0368,19
0.1,10,cardinal,1.000,27.5,0.0099,19
0.1,12,first,0.750,331.5,0.1239,10
0.1,12,random,0.650,458.9,0.1429,10
0.1,12,earliest,0.650,157.7,0.0470,10
0.1,12,most-conflicts,0.550,341.7,0.1096,10
0.1,12,cardinal,0.950,60.5,0.0219,10
0.1,14,first,0.450,75.0,0.0333,5
0.1,14,random,0.300,593.2,0.2418,5
0.1,14,earliest,0.450,482.0,0.1766,5
0.1,14,most-conflicts,0.350,319.6,0.1280,5
0.1,14,cardinal,0.900,51.0,0.0246,5
0.2,4,first,1.000,9.6,0.0016,20
0.2,4,random,1.000,15.8,0.0032,20
0.2,4,earliest,1.000,9.8,0.0018,20
0.2,4,most-conflicts,1.000,9.9,0.0019,20
0.2,4,cardinal,1.000,8.7,0.0022,20
0.2,6,first,1.000,18.7,0.0041,20
0.2,6,random,1.000,28.1,0.0070,20
0.2,6,earliest,1.000,22.7,0.0052,20
0.2,6,most-conflicts,1.000,20.9,0.0043,20
0.2,6,cardinal,1.000,13.8,0.0043,20
0.2,8,first,0.900,359.4,0.0961,17
0.2,8,random,0.900,278.5,0.0721,17
0.2,8,earliest,0.850,179.8,0.0520,17
0.2,8,most-conflicts,0.900,256.6,0.0673,17
0.2,8,cardinal,1.000,32.1,0.0102,17
0.2,10,first,0.450,507.9,0.1803,8
0.2,10,random,0.550,395.0,0.1601,8
0.2,10,earliest,0.550,349.5,0.1252,8
0.2,10,most-conflicts,0.450,425.8,0.1764,8
0.2,10,cardinal,0.850,115.9,0.0588,8
0.2,12,first,0.300,122.2,0.0415,5
0.2,12,random,0.300,324.2,0.1194,5
0.2,12,earliest,0.250,348.6,0.1141,5
0.2,12,most-conflicts,0.300,109.6,0.0399,5
0.2,12,cardinal,0.650,19.2,0.0084,5
0.2,14,first,0.150,115.0,0.0461,2
0.2,14,random,0.200,111.5,0.0501,2
0.2,14,earliest,0.150,83.0,0.0373,2
0.2,14,most-conflicts,0.100,147.5,0.0580,2
0.2,14,cardinal,0.500,19.0,0.0098,2
